id,title,budget,release_date,revenue,runtime,status
475,Alvin and the Chipmunks: The Squeakquel,75000000,2009-12-21,443140005,88,Released
476,Always,31000000,1989-12-22,74134790,122,Released
477,Amadeus,18000000,1984-10-26,51973029,160,Released
478,Amarkalam,500000,1999-08-25,500000,157,Released
479,Amateur Porn Star Killer,45,2006-06-30,,71,Released
480,Amelia,40000000,2009-10-22,19258519,111,Released
481,Amen,110000,2013-03-21,270000,165,Released
482,America 3000,2000000,1986-04-08,,84,Released
483,America's Most Haunted Inns,20,,,60,Released
484,American Adobo,344,2001-09-29,4,104,Released
485,American Beauty,15000000,1999-09-15,356296601,122,Released
486,American Boy: A Profile of: Steven Prince,155000,1978-09-16,,55,Released
487,American Dreamz,17000000,2006-03-04,7314027,107,Released
488,American Gangster,100000000,2007-11-02,266465037,157,Released
489,American Gigolo,4800000,1980-02-08,22743674,117,Released
490,American Graffiti,777000,1973-08-01,140000000,110,Released
491,American Heist,10000000,2014-09-11,,94,Released
492,American History X,20000000,1998-10-30,23875127,119,Released
493,American Hustle,40000000,2013-12-12,251171807,138,Released
494,American Idiots,750000,2013-06-18,,92,Released
495,American Ninja,1000000,1985-08-30,10499694,95,Released
496,American Outlaws,35000000,2001-08-17,13678913,94,Released
497,American Pie,11000000,1999-07-09,235483004,95,Released
498,American Pie 2,30000000,2001-08-10,287553595,108,Released
499,American Pie Presents: Band Camp,10000000,2005-10-30,,94,Released
500,American Psycho,7000000,2000-04-13,34266564,102,Released
501,American Psycho 2: All American Girl,10000000,2002-04-22,,88,Released
502,American Reunion,50000000,2012-04-04,234989584,113,Released
503,American Sniper,58800000,2014-12-11,542307423,133,Released
504,American Teen,5000000,2008-07-25,,95,Released
505,American Ultra,28000000,2015-08-19,27139524,96,Released
506,American Virgin,4000000,2009-10-03,,82,Released
507,American Wedding,55000000,2003-08-01,231449203,103,Released
508,Amigo,1200000,2010-07-14,,128,Released
509,Amistad,36000000,1997-12-03,74000000,155,Released
510,Amityville: A New Generation,1500000,1993-09-29,,90,Released
511,Amnesiac,3000000,2015-08-14,,90,Released
512,Among Wolves,8000000,2010-11-26,,116,Released
513,Amores perros,2000000,2000-06-16,20908467,154,Released
514,Amour,8900000,2012-07-01,29844753,127,Released
515,Amsterdam Heavy,500000,2011-09-12,,90,Released
516,Amusement,6000000,2008-10-09,,85,Released
517,Amélie,10000000,2001-04-25,173921954,122,Released
518,"An Alan Smithee Film: Burn, Hollywood, Burn",10000000,1998-02-20,45779,86,Released
519,An American Carol,20000000,2008-10-03,7000000,83,Released
520,An American Crime,2000000,2007-07-27,,97,Released
521,An American Ghost Story,10000,2012-10-01,,95,Released
522,An American Romance,3,1944-04-16,,121,Released
523,An American Tail,9000000,1986-11-21,84542002,80,Released
524,An American Terror,200000,2013-05-10,,85,Released
525,An American Werewolf in London,10000000,1981-08-21,31973249,97,Released
526,An American Werewolf in Paris,22000000,1997-12-25,26570463,105,Released
527,An American in Paris,2723903,1951-08-08,4500000,113,Released
528,An Awfully Big Adventure,4000000,1995-07-21,851545,113,Released
529,An Education,7500000,2009-10-29,26096852,100,Released
530,An Ideal Husband,14000000,1999-04-15,18535191,97,Released
531,An Inconvenient Sequel: Truth to Power,1000000,2017-07-28,,100,Released
532,An Inconvenient Truth,1000000,2006-01-24,46243000,100,Released
533,An Unfinished Life,30000000,2005-09-09,18618284,108,Released
534,An Unmarried Woman,2515000,1978-05-26,24000000,124,Released
535,Anaconda,45000000,1997-04-11,136885767,89,Released
536,Anacondas: The Hunt for the Blood Orchid,20000000,2004-08-26,70992898,97,Released
537,Analyze That,60000000,2002-12-06,55003135,96,Released
538,Analyze This,80000000,1999-03-05,176885658,103,Released
539,Anastasia,53000000,1997-11-20,139804348,94,Released
540,Anastasia,3520000,1956-12-13,,105,Released
541,Anbe Sivam,1700000,2003-01-14,,160,Released
542,Anchorman 2: The Legend Continues,50000000,2013-12-18,173649015,119,Released
543,Anchorman: The Legend of Ron Burgundy,26000000,2004-07-09,90574188,94,Released
544,And So It Goes,18000000,2014-07-20,25312387,94,Released
545,Android Apocalypse,1000000,2006-06-24,,95,Released
546,Angel,15000000,2007-02-17,,134,Released
547,Angel,3000000,1984-04-19,,89,Released
548,Angel Dog,1000000,2011-03-19,,90,Released
549,Angel Eyes,53000000,2001-05-15,29700000,102,Released
550,Angel Heart,17000000,1987-03-06,17185632,113,Released
551,Angel-A,15000000,2005-12-21,,91,Released
552,Angela's Ashes,25,1999-12-25,13,145,Released
553,Angels & Demons,150000000,2009-05-13,356613439,138,Released
554,Angels Don't Sleep Here,3500000,2002-04-02,,88,Released
555,Angels in America,60000000,2003-12-07,,352,Released
556,Anger Management,75000000,2003-04-11,195745823,106,Released
557,Angry Video Game Nerd: The Movie,325927,2014-07-21,,115,Released
558,"Angus, Thongs and Perfect Snogging",1,2008-07-25,,100,Released
559,Animal Farm,23000000,1999-10-03,,91,Released
560,Animal House,2700000,1978-07-27,141000000,109,Released
561,Animal Kingdom,5000000,2010-06-03,1000000,113,Released
562,Animals,5500000,2008-11-05,,88,Released
563,Anita O'Day: The Life of a Jazz Singer,200000,2007-04-30,,90,Released
564,Anjaana Anjaani,6400000,2010-09-24,5900000,151,Released
565,Anjali,2000000,1990-07-12,,150,Released
566,Anna Karenina,35000000,1997-04-04,791830,108,Released
567,Anna Karenina,1152000,1935-08-30,1439000,95,Released
568,Anna and the King,75000000,1999-12-16,,148,Released
569,Annabelle,6500000,2014-10-02,255273813,99,Released
570,Annapolis,26000000,2006-01-27,17496992,108,Released
571,Anne Of Green Gables: The Continuing Story,1100000,2000-07-23,,180,Released
572,Annie,50000000,1982-06-18,57059003,127,Released
573,Annie,65000000,2014-12-19,133821816,119,Released
574,Annie Get Your Gun,3768785,1950-05-17,8000000,107,Released
575,Annie Hall,4000000,1977-04-19,38251425,93,Released
576,Anomalisa,8000000,2015-12-30,5659286,90,Released
577,Anonymous,30000000,2011-10-21,15395087,130,Released
578,Another 48 Hrs.,38000000,1990-06-08,153518974,95,Released
579,Another Cinderella Story,5000000,2008-09-16,,90,Released
580,Another Earth,100000,2011-07-22,1776935,92,Released
581,Another Gay Movie,500000,2006-04-28,745327,92,Released
582,Another Happy Day,4000000,2011-11-18,355688,119,Released
583,Another State of Mind,130000,1984-03-01,,78,Released
584,Another World,1000000,2014-09-14,,100,Released
585,Another Year,8000000,2010-11-05,18124262,129,Released
586,Another You,17000000,1991-07-26,,94,Released
587,Anotherworld,40000,2008-01-08,,109,Released
588,Ant-Man,130000000,2015-07-14,519311965,117,Released
589,Antarctica: A Year on Ice,1000000,2013-09-05,,92,Released
590,Antares,500000,2004-12-03,,105,Released
591,Anthropoid,9000000,2016-08-12,4600000,120,Released
592,Antibirth,35000000,2016-09-02,,94,Released
593,Antibodies,1900000,2005-04-24,,127,Released
594,Antichrist,11000000,2009-05-18,791867,108,Released
595,Antidur,5000000,2007-09-06,1413000,91,Released
596,Antikiller,5000000,2002-08-01,340312,113,Released
597,Antikiller D.K,2500000,2009-12-03,2141028,91,Released
598,Antitrust,30000000,2001-01-12,18195610,108,Released
599,Antiviral,2400000,2012-09-19,,110,Released
600,Antonia's Line,900000,1995-09-12,,102,Released
601,Antwone Fisher,12500000,2002-12-19,23367586,120,Released
602,Antz,60000000,1998-10-02,171757863,83,Released
603,Anuvahood,1000000,2011-03-18,,88,Released
604,Any Given Sunday,55000000,1999-12-16,100230832,163,Released
605,Any Questions for Ben?,114,2012-02-09,,114,Released
606,Anything for Her,10000000,2008-12-03,,96,Released
607,Anywhere But Here,23000000,1999-11-12,18653615,114,Released
608,Apartment 1303 3D,5000000,2012-12-06,,101,Released
609,Apartment Zero,4000000,1988-09-30,670774,124,Released
610,Apocalypse Now,31500000,1979-08-15,89460381,153,Released
611,Apocalypto,40000000,2006-12-07,120175290,139,Released
612,Apollo 13,52000000,1995-06-30,355237933,140,Released
613,Apollo 18,5000000,2011-07-20,25562924,86,Released
614,Apostle Peter and the Last Supper,750000,2012-02-20,,88,Released
615,App,2000000,2013-04-03,,75,Released
616,Appaloosa,20000000,2008-09-12,20211394,115,Released
617,Appleseed,10000000,2004-04-17,1461989,101,Released
618,April Fool's Day,5000000,1986-03-27,,89,Released
619,April Fool's Day,5000000,2008-03-25,,91,Released
620,Apt Pupil,14000000,1998-10-23,,107,Released
621,Aquamarine,12000000,2006-03-03,23006849,104,Released
622,Aquarius,762241,2016-09-01,285930,140,Released
623,Aquí Entre Nos,1,2012-03-30,2755584,73,Released
624,Arabesque,4800000,1966-05-04,,105,Released
625,Arachnophobia,31000000,1990-08-09,53208180,103,Released
626,Arbitrage,12000000,2012-09-14,35485056,100,Released
627,Arc,650000,2006-10-20,,113,Released
628,Arctic Blast,5000000,2010-05-30,,92,Released
629,Are We There Yet?,32000000,2005-01-20,97918663,95,Released
630,Area 51,5000000,2015-05-15,,91,Released
631,Arena,10000000,2011-10-11,,94,Released
632,Argo,44500000,2012-10-11,232324128,120,Released
633,Arizona Dream,19000000,1993-01-06,,142,Released
634,Arlington Road,21500000,1999-03-19,,117,Released
635,Armadillo,1500000,2010-05-27,,105,Released
636,Armageddon,140000000,1998-07-01,553799566,151,Released
637,Armed and Dangerous,12000000,1986-08-15,15945534,88,Released
638,Armored,20000000,2009-12-04,22942221,88,Released
639,Armour of God,15000000,1986-08-16,,88,Released
640,Army of Crime,10000000,2009-05-17,,139,Released
641,Army of Darkness,11000000,1992-10-09,,81,Released
642,Arn: The Knight Templar,25000000,2007-12-17,,139,Released
643,Around the World in 80 Days,110000000,2004-06-16,72178895,120,Released
644,Around the World in Eighty Days,6000000,1956-10-17,42000000,167,Released
645,Arrambam,9200000,2013-10-31,21000000,157,Released
646,Arrival,47000000,2016-11-10,203388186,113,Released
647,Arsenal,10000000,2017-01-06,,92,Released
648,Arsenic and Old Lace,1120175,1944-09-23,,118,Released
649,Arthur,7000000,1981-07-17,95461682,97,Released
650,Arthur,40000000,2011-04-08,45735397,110,Released
651,Arthur & Merlin,3000000,2015-04-17,,103,Released
652,Arthur 3: The War of the Two Worlds,70200000,2010-08-22,,101,Released
653,Arthur and the Invisibles,86000000,2006-12-13,107944236,94,Released
654,Arthur and the Revenge of Maltazard,87000000,2009-11-26,,93,Released
655,Article 99,18000000,1992-03-13,6375979,100,Released
656,Artists and Models,1500000,1955-11-07,,109,Released
657,Artois the Goat,50000,2009-09-01,,110,Released
658,Arundhati,2915739,2009-01-16,14000000,132,Released
659,"As Above, So Below",5000000,2014-08-14,40100000,93,Released
660,As Good as It Gets,50000000,1997-12-19,314178011,139,Released
661,Ashens and the Quest for the Gamechild,123690,2013-08-08,,88,Released
662,Ask Me Anything,950000,2014-04-19,,100,Released
663,Ass Backwards,3000000,2013-01-21,,90,Released
664,Assassin's Bullet,5000000,2012-08-01,,91,Released
665,Assassin's Creed,125000000,2016-12-21,240697856,115,Released
666,Assassination Games,8000000,2011-07-28,,101,Released
667,Assassination of a High School President,11500000,2008-01-17,69564,93,Released
668,Assassins,50000000,1995-10-06,30303072,132,Released
669,Assassins Run,4000000,2013-04-22,,90,Released
670,Assassins Tale,1500000,2013-01-01,,91,Released
671,Assault on Precinct 13,150000,1976-11-05,,91,Released
672,Assault on Precinct 13,30000000,2005-01-19,35294470,109,Released
673,Assembly,16000000,2007-10-09,34786960,124,Released
674,Assisted Living,500,2005-02-02,41,78,Released
675,Asterix at the Olympic Games,97250400,2008-01-13,132900000,116,Released
676,Asterix: The Mansions of the Gods,30000000,2014-11-26,,85,Released
677,Astro Boy,65000000,2009-10-15,44091067,94,Released
678,Astérix and Obélix: God Save Britannia,61000000,2012-10-17,,110,Released
679,Asu Mare,700000,2013-04-11,,90,Released
680,Asylum,22000000,2008-03-20,,93,Released
681,At Close Range,6500000,1986-04-18,2347000,111,Released
682,At Long Last Love,6000000,1975-03-01,1500000,118,Released
683,At Middleton,2500000,2013-05-17,,101,Released
684,At Play in the Fields of the Lord,36000000,1991-12-06,1345903,189,Released
685,At Risk,5000000,2010-04-10,,90,Released
686,Atanarjuat: The Fast Runner,1934000,2002-02-01,3786801,172,Released
687,Atlantic City,7200000,1980-09-02,12729678,104,Released
688,Atlantis: The Lost Empire,120000000,2001-06-02,186053725,95,Released
689,Atlas,70000,1961-05-01,,79,Released
690,Atlas Shrugged Part I,15000000,2011-04-14,4627375,97,Released
691,Atlas Shrugged Part III: Who is John Galt?,5000000,2014-09-12,846704,99,Released
692,Atomic Blonde,30000000,2017-07-26,90007945,115,Released
693,Atonement,30000000,2007-08-29,129266061,123,Released
694,Attack of the 50 Foot Cheerleader,1000000,2012-01-01,,83,Released
695,Attack of the 50 Foot Woman,88000,1958-05-19,480000,65,Released
696,Attack of the Crab Monsters,70000,1957-02-10,,62,Released
697,Attack of the Killer Tomatoes!,90000,1978-10-01,,87,Released
698,Attack of the Sabretooth,2,2005-07-14,,90,Released
699,Attack the Block,14350531,2011-05-12,3964682,88,Released
700,Attraction,6277106,2017-01-26,,130,Released
701,August,1203000,2011-04-01,,108,Released
702,August Rush,25000000,2007-11-21,66122026,114,Released
703,August Underground's Mordum,300,2003-01-01,,77,Released
704,August. Eighth,16000000,2012-02-22,,120,Released
705,August: Osage County,25000000,2013-12-26,74188937,121,Released
706,Aurore,6000000,2005-07-08,,115,Released
707,Austenland,4900000,2013-08-15,2159041,97,Released
708,Austin Powers in Goldmember,63000000,2002-07-26,296655431,94,Released
709,Austin Powers: International Man of Mystery,16500000,1997-05-02,67683989,94,Released
710,Austin Powers: The Spy Who Shagged Me,33000000,1999-06-08,310940086,95,Released
711,Australia,130000000,2008-11-18,49554002,165,Released
712,Auto Focus,7000000,2002-10-18,2062066,104,Released
713,Automata,7000000,2014-10-09,,110,Released
714,Autopsy,15000000,2008-08-24,,84,Released
715,Autumn in New York,65000000,2000-08-11,,103,Released
716,Avalanche,6500000,1978-09-29,,94,Released
717,Avalon,8000000,2001-01-20,8826094,107,Released
718,Avatar,237000000,2009-12-10,2787965087,162,Released
719,Avengers: Age of Ultron,280000000,2015-04-22,1405403694,141,Released
720,Awake,86000000,2007-11-28,14373825,84,Released
721,Awarapan,6000000,2007-06-29,,126,Released
722,Away We Go,17000000,2009-06-05,14899417,98,Released
723,Ayan,3230939,2009-04-03,18000000,162,Released
724,Ayurveda: Art of Being,300000,2001-09-20,2074000,101,Released
725,Azzurro,3100000,2000-08-12,,84,Released
726,BMX Bandits,980385,1983-12-29,,88,Released
727,Baahubali 2: The Conclusion,18000000,2017-04-27,230000000,161,Released
728,Baahubali: The Beginning,40000000,2015-07-10,100000000,159,Released
729,Baarìa,35000000,2009-09-02,,150,Released
730,Babai,2137000,2015-06-28,,104,Released
731,Babe,30000000,1995-07-18,254134910,89,Released
732,Babe: Pig in the City,90000000,1998-11-25,69131860,92,Released
733,Babel,25000000,2006-09-08,135330182,143,Released
734,Babes in the Woods,16855,1932-11-19,,7,Released
735,Baby Blues,1635794,2012-09-10,,100,Released
736,Baby Boy,16000000,2001-06-27,29381649,130,Released
737,Baby Driver,34000000,2017-06-28,224511319,113,Released
738,Baby Face,187000,1933-07-12,,71,Released
739,Baby Geniuses,12000000,1999-03-12,36450736,97,Released
740,Baby Mama,30000000,2008-04-23,63833449,99,Released
741,Baby sa jakies inne,1689118,2011-10-14,,90,Released
742,Baby's Day Out,50000000,1994-07-01,16671505,99,Released
743,Babylon A.D.,70000000,2008-08-20,72108608,101,Released
744,Babysitters Beware,1500000,2009-12-03,,71,Released
745,Bachelor Party,6000000,1984-06-29,38435947,105,Released
746,Bachelor Party 2: The Last Temptation,6000000,2008-03-11,,104,Released
747,Bachelorette,3000000,2012-08-06,11947954,87,Released
748,Bachna Ae Haseeno,2400000,2008-08-14,9600000,153,Released
749,Back in Time,190000,2015-10-20,,95,Released
750,Back to Mom's,8600000,2016-06-01,,97,Released
751,Back to the Future,19000000,1985-07-03,381109762,116,Released
752,Back to the Future Part II,40000000,1989-11-20,332000000,108,Released
753,Back to the Future Part III,40000000,1990-05-25,244527583,118,Released
754,Backdraft,75000000,1991-05-24,152368585,137,Released
755,Bad,2000000,1987-08-31,,17,Released
756,Bad Ass 2: Bad Asses,5500000,2014-04-08,,91,Released
757,Bad Asses on the Bayou,5300000,2015-03-06,,85,Released
758,Bad Ben,300,2016-10-05,,86,Released
759,Bad Boy Bubby,750000,1993-09-01,,114,Released
760,Bad Boys,19000000,1995-04-07,141407024,118,Released
761,Bad Boys II,130000000,2003-07-18,273339556,147,Released
762,Bad Company,70000000,2002-06-07,65977295,116,Released
763,Bad Day at Black Rock,1271000,1955-01-07,3788000,81,Released
764,Bad Dreams,4000000,1988-04-08,9797098,86,Released
765,Bad Education,5000000,2004-03-19,40266982,106,Released
766,Bad Girl,1,2016-08-11,,99,Released
767,Bad Grandpa,15000000,2013-10-22,151831537,92,Released
768,Bad Kids of Crestview Academy,5000000,2017-01-13,,100,Released
769,Bad Lieutenant,1000000,1992-09-16,2019469,96,Released
770,Bad Moms,20000000,2016-07-28,183936074,100,Released
771,Bad Moon,7000000,1996-11-01,1100000,80,Released
772,Bad News Bears,30000000,2005-07-22,34252847,113,Released
773,Bad Santa,23000000,2003-11-26,76488889,91,Released
774,Bad Santa 2,26000000,2016-11-23,17782178,87,Released
775,Bad Taste,25710,1987-12-01,,91,Released
776,Bad Teacher,20000000,2011-05-16,216197492,92,Released
777,Bad Words,9500000,2013-09-06,7800000,88,Released
